adjective,category,created_at,id,modifier,name,price
fuzzy,contraption,2014-01-15 21:36:09,2512.0,carrying_case,fuzzy contraption carrying_case,150.0
,instrument,2013-05-14 05:20:50,482.0,refill,instrument refill,35.2
industrial-strength,module,2014-02-04 19:28:32,2446.0,,industrial-strength module,300.0
digital,tool,2013-02-25 12:23:18,1312.0,carrying_case,digital tool carrying_case,16.5
miniature,device,2013-08-05 17:20:45,3556.0,cleaner,miniature device cleaner,16.5
rechargable,contraption,2013-09-12 06:27:01,131.0,cleaner,rechargable contraption cleaner,195.0
,instrument,2013-10-07 09:38:14,1178.0,how-to-manual,instrument how-to-manual,0.0
prize-winning,mechanism,2013-09-09 09:32:18,110.0,storage_unit,prize-winning mechanism storage_unit,41.25
,mechanism,2013-10-25 22:53:25,47.0,,mechanism,15.0
organic,tool,2013-05-10 10:19:33,1696.0,,organic tool,37.5
fuzzy,module,2013-04-19 01:40:40,3196.0,refill,fuzzy module refill,80.0
fuzzy,device,2013-05-20 18:29:18,1578.0,refill,fuzzy device refill,40.0
reflective,widget,2013-06-14 03:32:39,0.0,charger,reflective widget charger,0.7800000000000001
organic,tool,2013-09-09 11:36:06,107.0,how-to-manual,organic tool how-to-manual,0.0
,apparatus,2013-03-15 18:14:19,487.0,charger,apparatus charger,60.0
industrial-strength,gadget,2013-03-17 19:01:27,1777.0,refill,industrial-strength gadget refill,213.60000000000002
aerodynamic,mechanism,2013-07-07 12:28:26,1132.0,,aerodynamic mechanism,21.0
industrial-strength,apparatus,2013-11-03 01:04:42,3328.0,carrying_case,industrial-strength apparatus carrying_case,540.0
,mechanism,2013-03-31 08:15:04,3044.0,,mechanism,15.0
miniature,tool,2013-03-13 05:43:14,246.0,,miniature tool,13.750000000000002
prize-winning,gadget,2013-10-29 11:50:25,3480.0,wrapper,prize-winning gadget wrapper,39.160000000000004
,tool,2014-01-02 05:47:17,1975.0,refill,tool refill,20.0
,mechanism,2013-06-25 11:24:00,2722.0,,mechanism,15.0
reflective,mechanism,2014-01-21 07:14:49,1602.0,how-to-manual,reflective mechanism how-to-manual,0.0
analog,mechanism,2013-06-19 21:43:13,3141.0,,analog mechanism,13.5
extra-strength,mechanism,2013-03-06 20:29:40,1411.0,charger,extra-strength mechanism charger,6.0
rechargable,dongle,2013-05-27 23:38:40,3439.0,,rechargable dongle,39.0
organic,mechanism,2013-10-05 16:02:03,2134.0,,organic mechanism,22.5
matte,widget,2013-03-16 00:16:33,2389.0,how-to-manual,matte widget how-to-manual,0.0
analog,gadget,2013-11-07 02:18:07,226.0,carrying_case,analog gadget carrying_case,48.06
fuzzy,dongle,2014-01-27 09:19:42,2545.0,cleaner,fuzzy dongle cleaner,18.0
rechargable,dongle,2013-03-16 00:54:44,1732.0,how-to-manual,rechargable dongle how-to-manual,0.0
,mechanism,2014-01-16 02:42:00,3934.0,carrying_case,mechanism carrying_case,9.0
fuzzy,dongle,2013-04-17 03:12:22,504.0,warmer,fuzzy dongle warmer,33.0
extra-strength,apparatus,2013-11-20 20:29:11,23.0,charger,extra-strength apparatus charger,120.0
matte,contraption,2013-09-02 20:34:50,1730.0,,matte contraption,312.5
prize-winning,apparatus,2013-12-23 17:55:49,3290.0,cleaner,prize-winning apparatus cleaner,198.00000000000003
aerodynamic,widget,2013-12-20 14:22:06,2498.0,,aerodynamic widget,4.199999999999999
extra-strength,apparatus,2013-10-17 09:50:03,459.0,opener,extra-strength apparatus opener,300.0
matte,apparatus,2013-05-07 17:28:21,2309.0,how-to-manual,matte apparatus how-to-manual,0.0
fuzzy,module,2013-08-26 10:31:15,1074.0,refill,fuzzy module refill,80.0
aerodynamic,contraption,2013-09-02 23:22:17,1391.0,charger,aerodynamic contraption charger,70.0
digital,mechanism,2013-07-15 16:00:39,1403.0,,digital mechanism,16.5
digital,apparatus,2013-07-05 23:33:51,3460.0,,digital apparatus,330.0
matte,mechanism,2013-10-10 03:26:07,549.0,wrapper,matte mechanism wrapper,7.5
digital,widget,2013-03-22 10:55:24,1271.0,wrapper,digital widget wrapper,1.3200000000000003
,widget,2013-12-15 16:19:44,2296.0,charger,widget charger,0.6000000000000001
prize-winning,gadget,2013-03-09 06:13:58,862.0,storage_unit,prize-winning gadget storage_unit,244.75000000000003
prize-winning,instrument,2013-10-28 03:54:54,53.0,,prize-winning instrument,48.400000000000006
prize-winning,tool,2013-04-25 21:31:50,1872.0,,prize-winning tool,27.500000000000004
miniature,apparatus,2013-07-15 19:48:33,3134.0,cleaner,miniature apparatus cleaner,99.00000000000001
fuzzy,apparatus,2013-02-23 13:06:36,2993.0,,fuzzy apparatus,300.0
extra-strength,device,2013-02-26 20:46:37,1590.0,storage_unit,extra-strength device storage_unit,250.0
analog,apparatus,2013-08-14 00:14:16,3057.0,,analog apparatus,270.0
extra-strength,instrument,2013-12-17 09:39:55,1756.0,how-to-manual,extra-strength instrument how-to-manual,0.0
matte,instrument,2013-11-18 09:55:47,3119.0,,matte instrument,55.0
prize-winning,tool,2013-11-15 10:30:33,2393.0,,prize-winning tool,27.500000000000004
,widget,2013-06-11 11:03:27,212.0,opener,widget opener,1.5
glossy,mechanism,2013-03-03 18:19:57,735.0,carrying_case,glossy mechanism carrying_case,10.799999999999999
glossy,instrument,2013-05-20 23:58:15,3544.0,cleaner,glossy instrument cleaner,31.679999999999996
glossy,mechanism,2013-03-21 06:35:11,3990.0,,glossy mechanism,18.0
matte,gadget,2014-01-30 17:15:13,917.0,charger,matte gadget charger,22.25
extra-strength,device,2013-07-15 20:13:43,77.0,,extra-strength device,100.0
digital,device,2014-01-02 04:08:45,2213.0,warmer,digital device warmer,60.500000000000014
,dongle,2013-05-25 13:37:04,2493.0,,dongle,30.0
rechargable,contraption,2013-09-16 14:58:03,3070.0,wrapper,rechargable contraption wrapper,130.0
,instrument,2013-07-23 21:03:59,1569.0,,instrument,44.0
prize-winning,gadget,2013-07-01 14:17:49,1690.0,charger,prize-winning gadget charger,19.580000000000002
fuzzy,module,2013-06-24 07:31:17,3447.0,refill,fuzzy module refill,80.0
rechargable,gadget,2013-12-22 19:32:31,33.0,,rechargable gadget,115.7
fuzzy,apparatus,2013-09-27 22:12:39,1838.0,,fuzzy apparatus,300.0
fuzzy,gadget,2013-06-01 16:37:26,2152.0,wrapper,fuzzy gadget wrapper,35.6
aerodynamic,contraption,2013-05-23 17:08:57,204.0,cleaner,aerodynamic contraption cleaner,210.0
matte,mechanism,2013-08-29 04:11:12,1039.0,,matte mechanism,18.75
digital,contraption,2013-03-30 21:56:50,3577.0,,digital contraption,275.0
extra-strength,device,2013-11-08 11:41:49,2567.0,,extra-strength device,100.0
matte,device,2013-12-11 04:07:40,3427.0,charger,matte device charger,12.5
digital,tool,2014-01-20 17:27:59,2622.0,charger,digital tool charger,5.5
